course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,F,3:00PM-4:50PM,0,0,30,30
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,M,8:00AM-9:50AM,0,0,12,30
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,MW,8:30AM-10:30AM,28,60,28,60
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,MW,12:00PM-2:00PM,58,60,58,60
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,MW,3:30PM-5:30PM,47,60,47,60
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,T,2:00PM-3:50PM,0,0,28,28
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,T,5:00PM-6:50PM,0,0,18,29
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,W,8:00AM-9:50AM,0,0,8,25
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LEC,4.00,ARR,Unknown,0,0,133,180
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LEC,4.00,MWF,2:00PM-2:50PM,0,0,96,145
CSE 115,Introduction to Computer Science I,Staff,LAB,4.00,ARR,Unknown,0,0,13,30
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,1:00PM-2:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,5:00PM-6:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,F,7:00PM-8:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,M,8:00AM-9:50AM,0,0,23,24
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,M,6:00PM-7:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,8:00AM-9:50AM,0,0,22,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,R,11:00AM-12:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,R,8:00PM-9:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,8:00AM-9:50AM,0,0,24,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,11:00AM-12:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,2:00PM-3:50PM,0,0,24,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,5:00PM-6:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,8:00PM-9:50PM,0,0,23,24
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,W,8:00AM-9:50AM,0,0,25,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,3:00PM-4:50PM,0,0,17,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,W,3:00PM-4:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,5:00PM-6:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,8:00PM-9:50PM,0,0,24,25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LEC,4.00,MWF,11:00AM-11:50AM,0,0,100,100
CSE 115,Introduction to Computer Science I,Matthew Hertz,LEC,4.00,MWF,12:00PM-12:50PM,0,0,119,125
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,1:00PM-1:50PM,0,0,113,150
CSE 115,Introduction to Computer Science I,Staff,LEC,4.00,TR,3:30PM-5:30PM,0,0,13,30
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,ARR,Unknown,13,30,13,30
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,9:00AM-9:50AM,0,0,19,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,10:00AM-10:50AM,0,0,19,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,1:00PM-1:50PM,0,0,19,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,2:00PM-2:50PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,3:00PM-3:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,4:00PM-4:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,F,5:00PM-5:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,9:30AM-10:20AM,0,0,19,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,12:30PM-1:20PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,3:30PM-4:20PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,5:00PM-5:50PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,6:30PM-7:20PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,R,8:00PM-8:50PM,0,0,0,0
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,T,9:30AM-10:20AM,0,0,17,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,T,12:30PM-1:20PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,T,2:00PM-2:50PM,0,0,19,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,T,5:00PM-5:50PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,W,10:00AM-10:50AM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,W,2:00PM-2:50PM,0,0,20,20
