course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,enrolled
CSE 101,Computers: A General Introduction,Jennifer Winikus,LAB,4.00,M,9:00AM-10:50AM, 0/ 0, 5/25
CSE 101,Computers: A General Introduction,Jennifer Winikus,LAB,4.00,W,1:00PM-2:50PM, 0/ 0, 5/25
CSE 101,Computers: A General Introduction,Jennifer Winikus,LEC,4.00,MWF,12:00PM-12:50PM, 0/ 0,10/21
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,R,2:00PM-3:50PM, 2/ 1,18/25
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,T,2:00PM-3:50PM, 0/ 1,12/12
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,W,11:00AM-12:50PM, 3/ 1,20/23
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LAB,4.00,W,4:00PM-5:50PM, 0/ 0,27/31
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Jennifer Winikus,LAB,4.00,W,6:00PM-7:50PM, 0/ 0,25/30
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Kris D. Schindler,LEC,4.00,MWF,9:00AM-9:50AM, 0/ 0,77/93
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Jennifer Winikus,LEC,4.00,MWF,2:00PM-2:50PM, 0/ 0,25/30
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,F,9:00AM-10:50AM, 0/ 0,22/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,11:00AM-12:50PM, 8/ 0,25/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,2:00PM-3:50PM, 7/10,24/25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,F,6:00PM-7:50PM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,F,8:00PM-9:50PM, 0/ 0,19/23
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,8:00AM-9:50AM, 1/ 0,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,M,11:00AM-12:50PM,19/25,25/25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,1:00PM-2:50PM,13/15,25/25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,3:00PM-4:50PM, 0/ 0,24/24
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,6:00PM-7:50PM, 0/15,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,R,8:00AM-9:50AM, 0/ 0,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,R,10:00AM-11:50AM,19/25,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,R,12:00PM-1:50PM, 0/ 0,25/25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,R,2:00PM-3:50PM, 7/25,25/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,6:00PM-7:50PM, 9/ 0,25/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,8:00PM-9:50PM, 5/ 0,23/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,T,9:00AM-10:50AM, 0/ 0,22/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,T,11:00AM-12:50PM, 9/ 0,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,2:00PM-3:50PM,16/24,23/24
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,T,6:00PM-7:50PM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,8:00AM-9:50AM,14/25,22/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,11:00AM-12:50PM, 7/ 0,25/25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,W,1:00PM-2:50PM,11/ 0,25/25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,4:00PM-5:50PM, 0/ 0,23/23
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,W,6:00PM-7:50PM, 0/15,25/25
CSE 115,Introduction to Computer Science I,Matthew Hertz,LAB,4.00,W,8:00PM-9:50PM, 0/25,24/24
CSE 115,Introduction to Computer Science I,Carl Alphonce,LEC,4.00,MWF,8:00AM-8:50AM, 0/ 0,121/125
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,9:00AM-9:50AM, 0/ 0,121/125
CSE 115,Introduction to Computer Science I,Carl Alphonce,LEC,4.00,MWF,10:00AM-10:50AM, 0/ 0,99/99
CSE 115,Introduction to Computer Science I,Matthew Hertz,LEC,4.00,MWF,12:00PM-12:50PM, 0/ 0,97/99
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,2:00PM-2:50PM, 0/ 0,93/96
CSE 115,Introduction to Computer Science I,Matthew Hertz,LEC,4.00,MWF,3:00PM-3:50PM, 0/ 0,93/97
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,8:00AM-8:50AM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,9:00AM-9:50AM, 0/ 0,23/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,10:00AM-10:50AM, 0/ 0,25/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,10:00AM-10:50AM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,11:00AM-11:50AM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,11:00AM-11:50AM, 0/ 0,25/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,12:00PM-12:50PM, 0/ 0,25/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,12:00PM-12:50PM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,1:00PM-1:50PM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,2:00PM-2:50PM, 0/ 0,24/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,3:00PM-3:50PM, 0/ 0,23/25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,3:00PM-3:50PM, 0/ 0,25/25
