course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,R,2:00PM-3:50PM,0,1,4,25
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,T,2:00PM-3:50PM,0,0,7,24
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,W,11:00AM-12:50PM,0,1,12,23
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LAB,4.00,W,4:00PM-5:50PM,0,0,12,25
CSE 111,Introduction to Quantitative Analysis and Reasoning with Computing,Staff,LEC,4.00,MWF,10:00AM-10:50AM,0,0,35,99
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,8:00AM-9:50AM,21,25,21,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,10:00AM-11:50AM,25,25,25,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,12:00PM-1:50PM,0,0,7,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,2:00PM-3:50PM,0,10,25,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,F,4:00PM-5:50PM,0,0,5,25
CSE 115,Introduction to Computer Science I,Eric Mikida,LAB,4.00,F,6:00PM-7:50PM,0,0,3,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,M,8:00AM-9:50AM,0,0,5,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,10:00AM-11:50AM,11,25,11,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,12:00PM-1:50PM,13,25,14,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,2:00PM-3:50PM,6,25,6,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,4:00PM-5:50PM,0,25,1,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,M,6:00PM-7:50PM,0,0,9,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,M,8:00PM-9:50PM,24,25,24,25
CSE 115,Introduction to Computer Science I,Eric Mikida,LAB,4.00,R,8:00AM-9:50AM,12,25,12,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,10:00AM-11:50AM,0,25,0,25
CSE 115,Introduction to Computer Science I,Eric Mikida,LAB,4.00,R,12:00PM-1:50PM,2,25,2,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,2:00PM-3:50PM,0,24,7,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,4:00PM-5:50PM,0,24,18,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,R,6:00PM-7:50PM,0,0,4,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,T,8:00AM-9:50AM,19,25,19,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,T,10:00AM-11:50AM,13,25,13,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,T,12:00PM-1:50PM,0,0,2,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,T,2:00PM-3:50PM,17,25,17,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LAB,4.00,T,6:00PM-7:50PM,22,25,22,25
CSE 115,Introduction to Computer Science I,Eric Mikida,LAB,4.00,W,8:00AM-9:50AM,25,25,25,25
CSE 115,Introduction to Computer Science I,Eric Mikida,LAB,4.00,W,10:00AM-11:50AM,12,25,12,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,12:00PM-1:50PM,0,0,17,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,2:00PM-3:50PM,23,25,23,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,4:00PM-5:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Paul Dickson,LAB,4.00,W,6:00PM-7:50PM,0,0,4,25
CSE 115,Introduction to Computer Science I,Carl Alphonce,LEC,4.00,MWF,8:00AM-8:50AM,0,0,41,125
CSE 115,Introduction to Computer Science I,Carl Alphonce,LEC,4.00,MWF,9:00AM-9:50AM,0,0,73,125
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,12:00PM-12:50PM,0,0,39,125
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,1:00PM-1:50PM,0,0,118,125
CSE 115,Introduction to Computer Science I,Paul Dickson,LEC,4.00,MWF,2:00PM-2:50PM,0,0,53,125
CSE 115,Introduction to Computer Science I,Eric Mikida,LEC,4.00,MWF,3:00PM-3:50PM,0,0,54,125
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,8:00AM-8:50AM,0,0,5,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,9:00AM-9:50AM,0,0,7,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,10:00AM-10:50AM,0,0,10,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,10:00AM-10:50AM,0,0,9,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,11:00AM-11:50AM,0,0,13,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,11:00AM-11:50AM,0,0,22,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,12:00PM-12:50PM,0,0,25,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,12:00PM-12:50PM,0,0,16,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,1:00PM-1:50PM,0,0,10,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,2:00PM-2:50PM,0,0,17,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,3:00PM-3:50PM,0,0,5,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,F,3:00PM-3:50PM,0,0,12,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,M,10:00AM-10:50AM,0,0,7,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,M,12:00PM-12:50PM,0,0,15,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,M,5:00PM-5:50PM,0,0,3,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,R,9:30AM-10:20AM,0,0,2,23
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,R,9:30AM-10:20AM,0,0,22,23
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,R,11:00AM-11:50AM,0,0,10,21
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,R,2:00PM-2:50PM,0,0,20,25
CSE 115,Introduction to Computer Science I,Staff,REC,4.00,R,2:00PM-2:50PM,0,0,23,25
